iter	Passed	Remaining
0	14	14054
1	25	12630
2	36	12028
3	47	11714
4	57	11503
5	68	11325
6	79	11281
7	90	11246
8	101	11181
9	111	11063
10	122	11006
11	132	10950
12	144	10998
13	155	10963
14	166	10956
15	177	10916
16	188	10926
17	200	10921
18	211	10902
19	222	10893
20	232	10853
21	244	10851
22	254	10823
23	265	10776
24	275	10752
25	286	10734
26	297	10731
27	309	10740
28	321	10748
29	332	10738
30	343	10730
31	353	10697
32	363	10664
33	375	10655
34	385	10615
35	396	10607
36	407	10608
37	417	10576
38	427	10542
39	437	10511
40	449	10511
41	459	10473
42	469	10441
43	480	10440
44	490	10403
45	500	10390
46	510	10354
47	520	10318
48	530	10288
49	541	10290
50	552	10277
51	562	10249
52	572	10231
53	582	10212
54	592	10185
55	604	10191
56	615	10179
57	626	10169
58	637	10169
59	648	10156
60	658	10136
61	668	10116
62	680	10121
63	690	10103
64	702	10110
65	714	10105
66	725	10096
67	735	10081
68	745	10055
69	755	10034
70	766	10034
71	778	10029
72	787	9997
73	798	9993
74	808	9975
75	818	9953
76	828	9935
77	839	9922
78	851	9921
79	860	9899
80	872	9896
81	881	9870
82	891	9850
83	901	9831
84	912	9825
85	923	9817
86	935	9814
87	946	9807
88	956	9788
89	965	9764
90	976	9750
91	985	9730
92	996	9717
93	1006	9703
94	1017	9695
95	1029	9691
96	1038	9671
97	1050	9664
98	1061	9658
99	1071	9646
100	1083	9641
101	1092	9620
102	1103	9608
103	1112	9580
104	1121	9556
105	1130	9534
106	1141	9527
107	1153	9524
108	1162	9506
109	1172	9489
110	1182	9467
111	1192	9452
112	1203	9447
113	1214	9439
114	1225	9430
115	1236	9423
116	1246	9410
117	1258	9407
118	1269	9398
119	1278	9379
120	1287	9354
121	1297	9336
122	1308	9326
123	1318	9313
124	1329	9303
125	1338	9282
126	1349	9275
127	1360	9271
128	1370	9255
129	1380	9240
130	1390	9223
131	1400	9208
132	1409	9186
133	1418	9167
134	1429	9156
135	1439	9144
136	1448	9127
137	1458	9111
138	1469	9103
139	1480	9091
140	1489	9077
141	1499	9062
142	1511	9057
143	1522	9049
144	1533	9043
145	1544	9032
146	1554	9017
147	1563	9003
148	1574	8991
149	1584	8976
150	1594	8966
151	1605	8958
152	1615	8941
153	1625	8929
154	1636	8919
155	1645	8903
156	1655	8888
157	1665	8877
158	1675	8864
159	1685	8848
160	1697	8843
161	1708	8837
162	1720	8832
163	1729	8815
164	1738	8798
165	1748	8783
166	1757	8768
167	1767	8750
168	1777	8740
169	1787	8725
170	1797	8714
171	1807	8700
172	1817	8688
173	1828	8678
174	1837	8662
175	1846	8645
176	1857	8637
177	1868	8630
178	1878	8616
179	1888	8603
180	1899	8594
181	1909	8580
182	1918	8567
183	1929	8555
184	1939	8543
185	1949	8533
186	1961	8527
187	1972	8518
188	1981	8502
189	1990	8483
190	1999	8468
191	2009	8456
192	2019	8443
193	2030	8437
194	2040	8424
195	2051	8416
196	2061	8403
197	2072	8394
198	2080	8375
199	2090	8362
200	2101	8353
201	2109	8334
202	2119	8322
203	2131	8316
204	2141	8304
205	2152	8295
206	2161	8281
207	2172	8273
208	2181	8257
209	2191	8244
210	2201	8232
211	2213	8227
212	2222	8211
213	2231	8197
214	2242	8187
215	2252	8176
216	2262	8162
217	2273	8156
218	2284	8147
219	2294	8134
220	2305	8125
221	2314	8111
222	2325	8102
223	2336	8093
224	2347	8086
225	2356	8071
226	2368	8065
227	2379	8055
228	2389	8044
229	2397	8027
230	2407	8014
231	2418	8006
232	2431	8003
233	2440	7990
234	2451	7979
235	2462	7972
236	2472	7960
237	2482	7948
238	2492	7934
239	2500	7917
240	2510	7905
241	2521	7897
242	2531	7885
243	2541	7873
244	2552	7865
245	2563	7855
246	2573	7845
247	2583	7834
248	2592	7820
249	2602	7807
250	2612	7796
251	2622	7784
252	2632	7772
253	2644	7766
254	2655	7759
255	2664	7744
256	2673	7729
257	2683	7718
258	2692	7704
259	2702	7692
260	2712	7679
261	2722	7669
262	2733	7659
263	2743	7648
264	2754	7639
265	2765	7630
266	2775	7620
267	2785	7609
268	2796	7600
269	2805	7586
270	2814	7570
271	2822	7555
272	2832	7543
273	2843	7534
274	2854	7526
275	2866	7519
276	2874	7503
277	2884	7490
278	2895	7481
279	2905	7470
280	2914	7457
281	2925	7447
282	2934	7434
283	2945	7425
284	2954	7413
285	2963	7399
286	2973	7388
287	2983	7376
288	2995	7368
289	3006	7360
290	3015	7346
291	3026	7338
292	3037	7328
293	3047	7318
294	3056	7304
295	3066	7292
296	3076	7282
297	3086	7270
298	3097	7261
299	3105	7247
300	3116	7237
301	3126	7225
302	3135	7212
303	3145	7201
304	3156	7193
305	3167	7183
306	3176	7170
307	3187	7162
308	3197	7150
309	3207	7138
310	3218	7131
311	3229	7121
312	3239	7109
313	3249	7099
314	3260	7090
315	3270	7079
316	3280	7067
317	3289	7055
318	3298	7042
319	3309	7032
320	3320	7024
321	3330	7013
322	3341	7003
323	3351	6991
324	3361	6981
325	3371	6969
326	3382	6962
327	3391	6948
328	3401	6937
329	3411	6926
330	3422	6917
331	3433	6908
332	3443	6897
333	3453	6886
334	3464	6877
335	3474	6866
336	3484	6854
337	3495	6845
338	3504	6833
339	3514	6822
340	3525	6814
341	3535	6801
342	3544	6789
343	3553	6775
344	3563	6764
345	3572	6752
346	3582	6741
347	3592	6730
348	3603	6721
349	3613	6710
350	3625	6703
351	3635	6691
352	3645	6681
353	3656	6672
354	3666	6661
355	3676	6650
356	3685	6638
357	3696	6628
358	3706	6617
359	3716	6606
360	3726	6597
361	3738	6588
362	3750	6580
363	3760	6570
364	3770	6560
365	3781	6549
366	3791	6540
367	3802	6530
368	3813	6520
369	3821	6507
370	3830	6494
371	3840	6483
372	3851	6473
373	3862	6464
374	3872	6453
375	3882	6442
376	3892	6432
377	3901	6419
378	3911	6408
379	3921	6397
380	3930	6386
381	3941	6376
382	3952	6366
383	3962	6355
384	3973	6347
385	3983	6337
386	3993	6325
387	4005	6317
388	4015	6306
389	4025	6295
390	4035	6285
391	4045	6275
392	4055	6263
393	4065	6253
394	4076	6244
395	4088	6235
396	4098	6224
397	4108	6214
398	4119	6205
399	4131	6196
400	4140	6184
401	4150	6174
402	4161	6165
403	4171	6154
404	4181	6143
405	4191	6132
406	4201	6121
407	4211	6110
408	4222	6100
409	4232	6090
410	4241	6079
411	4253	6070
412	4263	6059
413	4272	6047
414	4283	6037
415	4292	6026
416	4303	6016
417	4313	6005
418	4322	5993
419	4333	5985
420	4343	5973
421	4353	5962
422	4365	5954
423	4375	5943
424	4385	5933
425	4396	5923
426	4406	5912
427	4415	5901
428	4426	5891
429	4436	5881
430	4448	5872
431	4459	5863
432	4469	5852
433	4479	5842
434	4489	5831
435	4499	5819
436	4509	5810
437	4520	5799
438	4527	5785
439	4537	5775
440	4547	5764
441	4558	5755
442	4569	5745
443	4580	5736
444	4590	5725
445	4599	5713
446	4610	5703
447	4621	5694
448	4632	5684
449	4641	5673
450	4651	5662
451	4662	5653
452	4672	5642
